X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.3167799,47.60864269,Block,0,Y,2016/11/29 00:00:00+00,2016,1,Dark - Street Lights On,0,1,,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.3058274,47.5884106,Intersection,0,,2017/02/10 00:00:00+00,2017,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3700287,47.51741002,Block,0,,2017/01/25 00:00:00+00,2017,0,Daylight,1,0,,2,Dry,0,1,Property Damage Only Collision,,N,1,Clear,1
-122.3447509,47.6501615,Block,0,,2017/03/28 00:00:00+00,2017,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3240287,47.60980237,Intersection,0,,2016/12/02 00:00:00+00,2016,1,Daylight,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3040975,47.64396127,Intersection,0,Y,2016/12/18 00:00:00+00,2016,0,Daylight,0,1,,2,Dry,0,1,Property Damage Only Collision,,N,1,Clear,1
-122.3447064,47.7057972,Block,0,,2017/03/04 00:00:00+00,2017,0,Daylight,1,0,,2,Dry,0,1,Property Damage Only Collision,,N,1,Clear,1
-122.3488768,47.62456433,Intersection,0,,2017/02/03 00:00:00+00,2017,2,Dark - Street Lights On,2,0,,0,Wet,0,2,Injury Collision,,N,1,Raining,2
-122.3472071,47.69057079,Intersection,0,,2017/01/09 00:00:00+00,2017,1,Dark - Street Lights On,1,0,Y,3,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3207714,47.61351952,Block,0,,2016/11/27 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.344565,47.69418567,Intersection,0,,2017/03/14 00:00:00+00,2017,1,Dawn,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3396143,47.61516016,Intersection,0,,2017/02/08 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3205613,47.70857741,Intersection,0,,2016/12/06 00:00:00+00,2016,2,Daylight,2,0,Y,1,Dry,0,2,Injury Collision,,N,1,Clear,2
-122.3177801,47.65836929,Intersection,0,Y,2017/02/15 00:00:00+00,2017,1,Daylight,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
